blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,agebin
766,BEDOK RESERVOIR VIEW,18,1999,Y,N,N,N,N,N,BD,155,0,0,0,87,68,0,0,0,0,0,0,0,4
767,BEDOK RESERVOIR VIEW,18,1999,Y,N,N,N,N,N,BD,155,0,0,0,87,68,0,0,0,0,0,0,0,4
768,BEDOK RESERVOIR VIEW,15,1999,Y,N,N,N,N,N,BD,58,0,0,0,58,0,0,0,0,0,0,0,0,4
769,BEDOK RESERVOIR VIEW,19,1999,Y,N,N,N,N,N,BD,164,0,0,0,92,72,0,0,0,0,0,0,0,4
770,BEDOK RESERVOIR VIEW,17,1999,Y,N,N,N,N,N,BD,142,0,0,0,78,64,0,0,0,0,0,0,0,4
771,BEDOK RESERVOIR VIEW,17,1999,Y,N,N,N,N,N,BD,142,0,0,0,78,64,0,0,0,0,0,0,0,4
772,BEDOK RESERVOIR VIEW,19,1999,Y,N,N,N,N,N,BD,160,0,0,0,88,72,0,0,0,0,0,0,0,4
773,BEDOK RESERVOIR VIEW,19,1999,Y,N,N,N,N,N,BD,164,0,0,0,92,72,0,0,0,0,0,0,0,4
774,BEDOK RESERVOIR VIEW,19,1999,Y,N,N,N,N,N,BD,164,0,0,0,92,72,0,0,0,0,0,0,0,4
78,LOR LIMAU,40,2017,Y,N,N,Y,N,N,KWN,405,0,75,0,249,0,0,0,81,0,0,0,0,0
8,BOON KENG RD,40,2011,Y,N,N,N,N,N,KWN,238,0,0,24,56,158,0,0,0,0,0,0,0,1
8A,UPP BOON KENG RD,28,2016,Y,N,N,N,N,N,KWN,270,0,0,81,162,27,0,0,0,0,0,0,0,0
8B,UPP BOON KENG RD,30,2016,Y,N,N,N,N,N,KWN,290,0,0,87,145,58,0,0,0,0,0,0,0,0
8C,UPP BOON KENG RD,26,2016,Y,N,N,N,N,Y,KWN,248,0,66,0,124,25,0,0,33,0,0,0,0,0
803,CHAI CHEE RD,15,1992,Y,N,N,N,N,N,BD,80,0,0,0,0,80,0,0,0,0,0,0,0,5
804,CHAI CHEE RD,15,1992,Y,N,N,N,N,N,BD,80,0,0,0,0,80,0,0,0,0,0,0,0,5
805,CHAI CHEE RD,15,1992,Y,N,N,N,N,N,BD,80,0,0,0,0,80,0,0,0,0,0,0,0,5
807A,CHAI CHEE RD,15,2015,Y,N,N,N,N,N,BD,126,0,0,42,84,0,0,0,0,0,0,0,0,0
807B,CHAI CHEE RD,15,2015,Y,N,N,N,N,N,BD,154,0,98,14,42,0,0,0,0,0,0,0,0,0
807C,CHAI CHEE RD,15,2015,Y,N,N,Y,N,N,BD,140,0,0,42,70,28,0,0,0,0,0,0,0,0
808A,CHAI CHEE RD,15,2015,Y,N,N,Y,N,Y,BD,138,0,0,28,110,0,0,0,0,0,0,0,0,0
808B,CHAI CHEE RD,15,2015,Y,N,N,N,N,N,BD,154,0,98,14,42,0,0,0,0,0,0,0,0,0
808C,CHAI CHEE RD,15,2015,Y,N,N,N,N,N,BD,140,0,0,42,98,0,0,0,0,0,0,0,0,0
813,JELLICOE RD,30,2001,Y,N,N,N,N,N,KWN,115,0,0,0,82,33,0,0,0,0,0,0,0,3
815,JELLICOE RD,30,2001,Y,N,N,N,N,N,KWN,115,0,0,0,82,33,0,0,0,0,0,0,0,3
816,JELLICOE RD,30,2001,Y,N,N,N,N,N,KWN,125,0,0,0,29,96,0,0,0,0,0,0,0,3
83B,CIRCUIT RD,19,2019,Y,N,N,N,N,N,GL,108,0,0,36,72,0,0,0,0,0,0,0,0,0
9,BEDOK STH AVE 2,23,1992,Y,N,N,N,N,N,BD,92,0,0,0,0,92,0,0,0,0,0,0,0,5
9,BOON KENG RD,40,2011,Y,N,N,N,N,N,KWN,238,0,0,24,56,158,0,0,0,0,0,0,0,1
9,PINE CL,12,1996,Y,N,N,N,N,N,GL,77,0,0,0,55,22,0,0,0,0,0,0,0,4
92,PIPIT RD,18,1996,Y,N,N,N,N,N,GL,81,0,0,0,51,30,0,0,0,0,0,0,0,4
92A,PIPIT RD,18,1996,Y,N,N,N,N,N,GL,81,0,0,0,51,30,0,0,0,0,0,0,0,4
94B,BEDOK NTH AVE 4,13,1992,Y,N,N,N,N,N,BD,72,0,0,0,0,0,72,0,0,0,0,0,0,5
94C,BEDOK NTH AVE 4,15,1992,Y,N,N,N,N,N,BD,84,0,0,0,0,0,84,0,0,0,0,0,0,5
94D,BEDOK NTH AVE 4,17,1992,Y,N,N,N,N,N,BD,80,0,0,0,0,80,0,0,0,0,0,0,0,5
94E,BEDOK NTH AVE 4,18,1992,Y,N,N,N,N,N,BD,85,0,0,0,0,85,0,0,0,0,0,0,0,5
